from  ,to  ,flow   ,type       ,from_partition ,to_partition ,flow_partition ,from_to_partition ,from_flow_partition ,to_flow_partition
S     ,I   ,lambda ,per_capita ,Epi            ,Epi          ,Epi            ,                  ,                    ,Null
I     ,R   ,gamma  ,per_capita ,Epi            ,Epi          ,Epi            ,                  ,                    ,Null
young ,old ,aging  ,per_capita ,Age            ,Age          ,Age            ,                  ,                    ,Null
