Organization                                               , Date
Public Health Agency of Canada                             , [2025-03-20](https://canmod.github.io/macpan-workshop)
Memorial University                                        , 2024-11-07
Simon Fraser University                                    , 2024-13-05
Vancouver Machine Learning Group (VanML)                   , [2024-02-22](https://elliottlab.ca/technique.html)
Canadian Network for Modelling Infectious Diseases (CANMOD), [2023-11-14](https://www.birs.ca/events/2023/5-day-workshops/23w5151/schedule)
